1244,Timm10b
1246,Cox6b2
1248,Atpaf1
1250,Lonp2
1252,Sfxn3
1254,Slc16a1
1256,Abcd2
1258,Sqrdl
1260,Nudt13
1262,Sirt5
1264,Acad11
1266,Ppox
1268,D2hgdh
1270,Diablo
1272,Slc25a45
1274,Ttc19
1276,Agxt
1278,9030617O03Rik
1280,Mtfmt
1282,COX1
1284,Endog
1286,Fam162a
1288,Atp5j2
1290,Gls2
1292,Mrps33
1294,Timmdc1
1296,Tfam
1298,Ecsit
1300,Mrs2
1302,Abcb6
1304,Slc25a17
1306,Mtfr1l
1308,Lap3
1310,Gpt2
1312,Acsf2
1314,Grhpr
1316,Stom
1318,Glod4
1320,Tomm6
1322,Mrps36
1324,Tmem65
1326,Tomm70a
1328,Fhit
1330,Osgepl1
1332,Crls1
1334,Mdh1
1336,Mocs1
1338,Gk2
1340,Aldh1l1
1342,Rfk
1344,Dhrs1
1346,Polg
1348,Slmo1
1350,Slc25a14
1352,Timm8a2
1354,Rhot1
1356,Gpx1
1358,Slc25a46
1360,ND5
1362,ND4
1364,ND2
1366,Prelid1
1368,Tstd3
1370,Slc25a32
1372,Mcu
1374,Nipsnap1
1376,Pus1
1378,Pdp2
1380,Lypla1
1382,Mtrf1
1384,Adck4
1386,Mthfd2l
1388,Hemk1
1390,Akr7a5
1392,Oxct2a
1394,Cyp27a1
1396,Mrpl52
1398,Fis1
1400,Me1
1402,Amt
1404,Exog
1406,Mpst
1408,Pnpo
1410,Mpv17l2
1412,Fundc2
1414,Mrpl18
1416,Atp5g2
1418,Ppm1m
1420,Mettl5
1422,Slc25a38
1424,4933405O20Rik
1426,Slc25a36
1428,Trmt2b
1430,Aldh5a1
1432,Ckmt1
1434,Got2
1436,Abat
1438,Gtpbp3
1440,Sirt3
1442,C330018D20Rik
1444,Parl
1446,2410018M08Rik
1448,Bloc1s1
1450,Cox8c
1452,Acly
1454,Sfxn5
1456,Slc25a27
1458,Slc25a23
1460,Ucp3
1462,Slc25a40
1464,Htra2
1466,Gpi1
1468,Nadk2
1470,CYTB
1472,Chchd5
1474,Mrps31
1476,Ndufa1
1478,Hoga1
1480,Aldh3a2
1482,Pam16
1484,Fam136a
1486,Ndufb4
1488,Tomm5
1490,Mpv17l
1492,Gykl1
1494,Cpt1b
1496,Akr1b10
1498,Slc25a53
1500,Slc25a2
1502,Opa3
1504,Fahd1
1506,Pxmp4
1508,Nif3l1
1510,Hk2
1512,Grsf1
1514,Macrod1
1516,Nmnat3
1518,Cisd3
1520,Nudt8
1522,Cat
1524,Dnajc19
1526,Elac2
1528,Sugct
1530,Hint3
1532,Kars
1534,Dnajc28
1536,Nudt2
1538,Cyb5b
1540,Phyh
1542,Guk1
1544,1700071K01Rik
1546,Nudt19
1548,COX3
1550,Mrpl42
1552,2610507B11Rik
1554,Dhrs7b
1556,Nt5m
1558,Mthfs
1560,Gm2382
1562,Nme4
1564,Oma1
1566,Acsl6
1568,Rpusd3
1570,Idh1
1572,Acss1
1574,Dguok
1576,Pars2
1578,Htatip2
1580,Qrsl1
1582,Carkd
1584,Chchd6
1586,Ddah1
1588,Tkt
1590,Pcbd2
1592,Agmat
1594,Micu2
1596,Akr1b7
1598,Scp2
1600,Rab24
1602,Ccdc109b
1604,Lyplal1
1606,Spata19
1608,ATP8
1610,Gsto1
1612,Ldhal6b
1614,Aldh1a7
1616,Ccbl2
1618,Oxsm
1620,ND3
1622,Ctu1
1624,Adck1
1626,Pts
1628,Slc25a33
1630,As3mt
1632,Mgst1
1634,Ung
1636,Nsun4
1638,Tmem205
1640,Dbi
1642,Coasy
1644,Stard7
1646,Letm2
1648,Tubb3
1650,Ptcd1
1652,Mtfp1
1654,Coa4
1656,Ephx2
1658,Nrd1
1660,Acacb
1662,Mavs
1664,Tmem143
1666,Mtpap
1668,Sdsl
1670,Cmpk2
1672,Glyctk
1674,Rpusd4
1676,Mtcp1
1678,Smim20
1680,Mterfd2
1682,Top1mt
1684,Arg2
1686,Ptrh2
1688,Lyrm1
1690,Aars2
1692,Acsl1
1694,Dnajc30
1696,Tmlhe
1698,Mthfd1
1700,Bax
1702,BC026585
1704,Pxmp2
1706,Dnm1l
1708,Cox20
1710,Hsd3b1
1712,Tmem177
1714,Tk2
1716,Fundc1
1718,Pgs1
1720,Fasn
1722,Cbr2
1724,Chpt1
1726,Atp5g1
1728,Fam210b
1730,Sfxn2
1732,Mmadhc
1734,Otc
1736,Txnrd1
1738,Hmbs
1740,Arf5
1742,Ankrd26
1744,Fpgs
1746,Trmt10c
1748,0610012H03Rik
1750,Lactb2
1752,Gm561
1754,Hebp1
1756,Pgam5
1758,Ptpmt1
1760,Abcd1
1762,Hsdl1
1764,Cbr3
1766,Prdx6
1768,Tysnd1
1770,Dnajc4
1772,1110001A16Rik
1774,Foxred1
1776,Eri3
1778,Dhx30
1780,Bcl2l13
1782,Slc37a4
1784,Acp6
1786,Cox7a2l
1788,Tstd1
1790,Rps18
1792,Qdpr
1794,Tars
1796,Hspb7
1798,Acsm2
1800,Adck2
1802,Shmt1
1804,Osbpl1a
1806,Trmt1
1808,Mtif3
1810,Pet100
1812,Eefsec
1814,Rdh11
1816,Mtfr1
1818,Tfb1m
1820,Fth1
1822,Tspo
1824,Glyat
1826,Aco1
1828,Rbfa
1830,Rnaseh1
1832,Acox3
1834,Pex11b
1836,Tmem186
1838,Nudt5
1840,Sod1
1842,Star
1844,Abcb9
1846,Prdx6b
